vehicle_id,date,time,full_record_name,,,,
0094,2025-01-26,10-11-51,full_record.2025-01-26-10-55-32.00000,标准存储,2025-01-26 22:30:15,1.21GB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-10-56-32.00001,标准存储,2025-01-26 22:30:14,1.16GB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-10-57-32.00002,标准存储,2025-01-26 22:30:12,1.02GB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-10-58-32.00003,标准存储,2025-01-26 22:30:16,1001.99MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-10-59-32.00004,标准存储,2025-01-26 22:30:12,980.03MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-00-32.00005,标准存储,2025-01-26 22:30:12,1013.94MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-01-32.00006,标准存储,2025-01-26 22:30:15,992.63MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-02-32.00007,标准存储,2025-01-26 22:30:12,919.72MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-03-32.00008,标准存储,2025-01-26 22:30:15,984.4MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-04-32.00009,标准存储,2025-01-26 22:30:15,969.47MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-05-32.00010,标准存储,2025-01-26 22:30:12,967.72MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-06-32.00011,标准存储,2025-01-26 22:30:12,995.84MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-07-32.00012,标准存储,2025-01-26 22:30:12,970.48MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-08-32.00013,标准存储,2025-01-26 22:30:15,985.62MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-09-32.00014,标准存储,2025-01-26 22:30:13,971.69MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-10-32.00015,标准存储,2025-01-26 22:30:14,981.71MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-11-32.00016,标准存储,2025-01-26 22:30:11,954.74MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-12-32.00017,标准存储,2025-01-26 22:30:15,967.07MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-13-32.00018,标准存储,2025-01-26 22:30:13,922.28MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-14-32.00019,标准存储,2025-01-26 22:30:15,959.63MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-15-32.00020,标准存储,2025-01-26 22:30:12,926.38MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-16-32.00021,标准存储,2025-01-26 22:30:13,910.62MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-17-32.00022,标准存储,2025-01-26 22:30:14,951.94MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-18-32.00023,标准存储,2025-01-26 22:30:12,916.51MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-19-32.00024,标准存储,2025-01-26 22:30:14,945.47MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-20-32.00025,标准存储,2025-01-26 22:30:14,895.95MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-21-32.00026,标准存储,2025-01-26 22:30:16,887.73MB,
0094,2025-01-26,10-11-51,full_record.2025-01-26-11-22-32.00027,标准存储,2025-01-26 22:30:09,287.62MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-09-20.00000,标准存储,2025-01-26 22:25:19,1.05GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-10-20.00001,标准存储,2025-01-26 22:25:20,1.06GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-11-20.00002,标准存储,2025-01-26 22:25:23,1.15GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-12-20.00003,标准存储,2025-01-26 22:25:19,1.03GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-13-20.00004,标准存储,2025-01-26 22:25:16,929.22MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-14-20.00005,标准存储,2025-01-26 22:25:17,875.04MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-15-20.00006,标准存储,2025-01-26 22:25:16,914.69MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-16-20.00007,标准存储,2025-01-26 22:25:18,897.71MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-17-20.00008,标准存储,2025-01-26 22:25:16,926.74MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-18-20.00009,标准存储,2025-01-26 22:25:21,839.76MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-19-20.00010,标准存储,2025-01-26 22:25:14,894.58MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-20-20.00011,标准存储,2025-01-26 22:25:17,857.41MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-21-20.00012,标准存储,2025-01-26 22:25:17,896.72MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-22-20.00013,标准存储,2025-01-26 22:25:19,767.65MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-23-20.00014,标准存储,2025-01-26 22:25:18,799.85MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-24-20.00015,标准存储,2025-01-26 22:25:14,814.35MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-25-20.00016,标准存储,2025-01-26 22:25:18,792.5MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-26-20.00017,标准存储,2025-01-26 22:25:21,848.44MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-27-20.00018,标准存储,2025-01-26 22:25:17,965.24MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-28-20.00019,标准存储,2025-01-26 22:25:16,980.79MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-29-20.00020,标准存储,2025-01-26 22:25:21,940.41MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-30-20.00021,标准存储,2025-01-26 22:25:18,958.77MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-31-20.00022,标准存储,2025-01-26 22:25:21,979.17MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-32-20.00023,标准存储,2025-01-26 22:25:14,971.37MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-33-20.00024,标准存储,2025-01-26 22:25:19,1006.74MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-34-20.00025,标准存储,2025-01-26 22:25:22,1GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-35-20.00026,标准存储,2025-01-26 22:25:16,997.71MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-36-20.00027,标准存储,2025-01-26 22:25:14,972.22MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-37-20.00028,标准存储,2025-01-26 22:25:18,1011.26MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-38-20.00029,标准存储,2025-01-26 22:25:19,979.63MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-39-20.00030,标准存储,2025-01-26 22:25:14,974.66MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-40-20.00031,标准存储,2025-01-26 22:25:19,939.98MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-41-20.00032,标准存储,2025-01-26 22:25:20,996.4MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-42-20.00033,标准存储,2025-01-26 22:25:21,977.22MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-43-20.00034,标准存储,2025-01-26 22:25:21,978.67MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-44-20.00035,标准存储,2025-01-26 22:25:22,992.55MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-45-20.00036,标准存储,2025-01-26 22:25:20,996.67MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-46-20.00037,标准存储,2025-01-26 22:25:21,977.58MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-47-20.00038,标准存储,2025-01-26 22:25:18,959.25MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-48-20.00039,标准存储,2025-01-26 22:25:21,885.68MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-49-20.00040,标准存储,2025-01-26 22:25:20,811.37MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-50-20.00041,标准存储,2025-01-26 22:25:15,821.83MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-51-20.00042,标准存储,2025-01-26 22:25:20,812.02MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-52-20.00043,标准存储,2025-01-26 22:25:14,857.07MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-53-20.00044,标准存储,2025-01-26 22:25:19,830.55MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-14-54-20.00045,标准存储,2025-01-26 22:25:14,850.57MB,
