vehicle_id,date,time,full_record_name,,,,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-34-41.00000,标准存储,2025-02-06 00:09:32,930.38MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-35-41.00001,标准存储,2025-02-06 00:09:05,932.59MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-36-41.00002,标准存储,2025-02-06 00:09:45,932.01MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-37-41.00003,标准存储,2025-02-06 00:10:21,928.29MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-38-41.00004,标准存储,2025-02-06 00:09:32,947.63MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-39-41.00005,标准存储,2025-02-06 00:08:55,968.1MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-40-41.00006,标准存储,2025-02-06 00:08:35,950.12MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-41-41.00007,标准存储,2025-02-06 00:09:16,927.15MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-42-41.00008,标准存储,2025-02-06 00:09:15,922.05MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-43-41.00009,标准存储,2025-02-06 00:08:54,885.29MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-44-41.00010,标准存储,2025-02-06 00:10:33,911.18MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-45-41.00011,标准存储,2025-02-06 00:09:55,926.9MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-46-41.00012,标准存储,2025-02-06 00:08:36,907.98MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-47-41.00013,标准存储,2025-02-06 00:09:11,902.35MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-48-41.00014,标准存储,2025-02-06 00:09:16,944.41MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-49-41.00015,标准存储,2025-02-06 00:10:11,994.22MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-50-41.00016,标准存储,2025-02-06 00:10:47,926.26MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-51-41.00017,标准存储,2025-02-06 00:10:10,905.28MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-52-41.00018,标准存储,2025-02-06 00:09:45,900.97MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-53-41.00019,标准存储,2025-02-06 00:10:22,869MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-54-41.00020,标准存储,2025-02-06 00:09:55,947.73MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-55-41.00021,标准存储,2025-02-06 00:10:23,927.51MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-56-41.00022,标准存储,2025-02-06 00:09:15,922.35MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-57-41.00023,标准存储,2025-02-06 00:08:36,948.11MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-58-41.00024,标准存储,2025-02-06 00:09:47,948.07MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-14-59-41.00025,标准存储,2025-02-06 00:10:33,959.78MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-00-41.00026,标准存储,2025-02-06 00:10:11,938.23MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-01-41.00027,标准存储,2025-02-06 00:10:47,967.5MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-02-41.00028,标准存储,2025-02-06 00:10:23,943.19MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-03-41.00029,标准存储,2025-02-06 00:09:47,962.23MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-04-41.00030,标准存储,2025-02-06 00:09:06,940.74MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-05-41.00031,标准存储,2025-02-06 00:08:26,951.62MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-06-41.00032,标准存储,2025-02-06 00:10:12,916.99MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-07-41.00033,标准存储,2025-02-06 00:10:46,918.51MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-08-41.00034,标准存储,2025-02-06 00:10:23,954.9MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-09-41.00035,标准存储,2025-02-06 00:08:27,923.56MB,
