ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,ADD,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,1,0,DrvFcn2FrmADDSigGrpChks,,8,0, ,m,u,s,0..255,,,,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,0,DrvCtrlAvailabilityMainFrmADD,ADSCtrlAvailabilityMain,1,0, ,m,u,s,0..1,,"0: NotAvailable, 1: Available",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,0,DrvCtrlAvailabilityMainFrmADD,ADSCtrlAvailabilityMain,1,0, ,m,u,s,0..1,,"0: NotAvailable, 1: Available",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,1,DrvReqTypeMainFrmADD,ADSReqTypeMain,1,0, ,m,u,s,0..1,,"0: ADC_Comfort, 1: ADC_Emergency",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,1,DrvReqTypeMainFrmADD,ADSReqTypeMain,1,0, ,m,u,s,0..1,,"0: ADC_Comfort, 1: ADC_Emergency",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,2,DrvReqModeMainFrmADD,ADSReqModeMain,2,0, ,m,u,s,0..3,,"0: ADC_None, 1: ADC_L12, 2: ADC_L3",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,2,DrvReqModeMainFrmADD,ADSReqModeMain,2,0, ,m,u,s,0..3,,"0: ADC_None, 1: ADC_L12, 2: ADC_L3",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,2,DrvReqModeMainFrmADD,ADSReqModeMain,2,0, ,m,u,s,0..3,,"0: ADC_None, 1: ADC_L12, 2: ADC_L3",,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,15,0,DrvSteerWhlTqLimFrmADD,Steering Wheel Torque limit,11,0.00, ,m,u,s,-10.24..10.23,0.01  Nm,,,
 B1h,ADD_ChassisCANFD_0xB1,10,cyclic,0,2,4,DrvFcn2FrmADDSigGrpCntr,,4,0, ,m,u,s,0..15,,,,
