,start_time,end_time,
0,2023-11-2 2:30:00,2023-11-2 10:05:00,27.0
1,2023-11-2 23:46:00,2023-11-3 6:15:00,30.0
2,2023-11-4 1:27:00,2023-11-4 10:35:00,28.0
3,2023-11-5 0:05:00,2023-11-5 6:36:00,30.0
4,2023-11-6 2:03:00,2023-11-6 10:35:00,24.0
5,2023-11-6 23:54:00,2023-11-7 6:26:00,26.0
6,2023-11-8 2:07:00,2023-11-8 9:40:00,24.6
7,2023-11-8 23:47:00,2023-11-9 6:24:00,25.7
8,2023-11-10 2:04:00,2023-11-10 9:36:00,24.3
9,2023-11-10 23:57:00,2023-11-11 6:25:00,27.8
10,2023-11-12 2:10:00,2023-11-12 9:40:00,24.8
11,2023-11-13 0:50:00,2023-11-13 7:25:00,31.2
12,2023-11-14 2:17:00,2023-11-14 9:55:00,23.5
13,2023-11-15 0:38:00,2023-11-15 7:11:00,24.5
14,2023-11-16 2:05:00,2023-11-16 9:48:00,23.8
15,2023-11-17 0:03:00,2023-11-17 6:30:00,28.2
16,2023-11-18 2:02:00,2023-11-18 9:47:00,28.0
17,2023-11-19 0:05:00,2023-11-19 6:29:00,28.0
