start_time,end_time,weight_gt
9/10/2023 6:24:00,9/10/2023 16:26:00,33.02
9/11/2023 5:25:00,9/11/2023 15:17:00,33.96
9/12/2023 6:27:00,9/12/2023 16:29:00,33.02
9/13/2023 5:26:00,9/13/2023 15:24:00,37.82
9/14/2023 6:04:00,9/14/2023 16:00:00,34.76
9/15/2023 5:15:00,9/15/2023 15:11:00,37.2
9/16/2023 6:44:00,9/16/2023 16:45:00,35.2
9/17/2023 5:17:00,9/17/2023 15:14:00,36.34
9/18/2023 6:18:00,9/18/2023 16:19:00,32.86
9/19/2023 5:06:00,9/19/2023 15:06:00,33.76
9/20/2023 6:21:00,9/20/2023 16:18:00,37.56
9/21/2023 5:12:00,9/21/2023 16:03:00,35.94
9/22/2023 6:08:00,9/22/2023 16:09:00,35.66
9/23/2023 4:55:00,9/23/2023 14:49:00,34.92
9/24/2023 6:09:00,9/24/2023 16:09:00,33.62
9/25/2023 5:05:00,9/25/2023 15:02:00,35.14
9/26/2023 6:14:00,9/26/2023 16:12:00,35.2
9/27/2023 5:20:00,9/27/2023 15:21:00,35.2
9/28/2023 6:00:00,9/28/2023 16:02:00,30.8
9/29/2023 5:44:00,9/29/2023 16:36:00,35.14
9/30/2023 6:28:00,9/30/2023 17:20:00,36.46
10/1/2023 5:23:00,10/1/2023 15:32:00,33.1
10/2/2023 6:13:00,10/2/2023 16:12:00,26.44
10/3/2023 5:17:00,10/3/2023 17:17:00,32.66
10/4/2023 6:35:00,10/4/2023 17:03:00,30.88
10/5/2023 5:03:00,10/5/2023 16:52:00,34.78
10/6/2023 6:19:00,10/6/2023 16:37:00,30.76
10/7/2023 5:24:00,10/7/2023 16:35:00,36.04
10/8/2023 6:35:00,10/8/2023 16:33:00,31.84
10/9/2023 5:05:00,10/9/2023 15:05:00,35.28
10/10/2023 6:19:00,10/10/2023 16:20:00,30.84
10/11/2023 3:33:00,10/11/2023 13:30:00,36.7
10/12/2023 6:17:00,10/12/2023 16:18:00,32.98
10/13/2023 5:09:00,10/13/2023 15:11:00,33.32
10/14/2023 6:22:00,10/14/2023 17:06:00,30.56
10/15/2023 5:05:00,10/15/2023 15:05:00,32.96
10/16/2023 6:19:00,10/16/2023 16:21:00,28.84
10/17/2023 5:02:00,10/17/2023 15:21:00,32.32
10/18/2023 6:08:00,10/18/2023 16:10:00,31.28
10/19/2023 5:12:00,10/19/2023 15:15:00,38.72
10/20/2023 6:06:00,10/20/2023 16:07:00,31.78
10/21/2023 5:00:00,10/21/2023 15:01:00,36.34
10/22/2023 5:58:00,10/22/2023 15:58:00,36.22
10/23/2023 5:04:00,10/23/2023 15:06:00,36.16
10/24/2023 6:25:00,10/24/2023 16:26:00,32
10/25/2023 4:59:00,10/25/2023 15:01:00,34.9
10/26/2023 6:01:00,10/26/2023 16:01:00,31.06
10/27/2023 5:03:00,10/27/2023 16:56:00,37.3
10/28/2023 1:30:00,10/28/2023 11:32:00,37.56
10/29/2023 4:52:00,10/29/2023 14:51:00,33.36
10/30/2023 6:15:00,10/30/2023 16:15:00,31.28
10/31/2023 4:45:00,10/31/2023 14:40:00,38.76
11/1/2023 5:42:00,11/1/2023 15:44:00,31.72
11/2/2023 2:02:00,11/2/2023 12:02:00,39.76
11/3/2023 2:59:00,11/3/2023 12:50:00,32.18
11/4/2023 1:25:00,11/4/2023 11:17:00,31.16
11/5/2023 6:38:00,11/5/2023 16:38:00,32.38
11/6/2023 5:22:00,11/6/2023 15:43:00,37.54
11/7/2023 6:37:00,11/7/2023 16:35:00,32.54
