start_time,end_time,weight_gt
9/10/2023 4:38:00,9/10/2023 15:43:00,35.08
9/11/2023 6:29:00,9/11/2023 16:27:00,30.18
9/12/2023 5:07:00,9/12/2023 15:05:00,34.24
9/13/2023 6:29:00,9/13/2023 16:27:00,31.64
9/14/2023 5:11:00,9/14/2023 15:04:00,37.2
9/15/2023 6:19:00,9/15/2023 16:21:00,36.22
9/16/2023 4:58:00,9/16/2023 14:59:00,37.28
9/17/2023 6:14:00,9/17/2023 16:14:00,32.56
9/18/2023 5:15:00,9/18/2023 15:13:00,36.26
9/19/2023 6:11:00,9/19/2023 16:13:00,34.2
9/20/2023 5:18:00,9/20/2023 15:16:00,35.46
9/21/2023 6:07:00,9/21/2023 16:09:00,26.72
9/22/2023 5:03:00,9/22/2023 15:03:00,35.26
9/23/2023 6:22:00,9/23/2023 16:20:00,32.4
9/24/2023 5:35:00,9/24/2023 15:34:00,31.22
9/25/2023 6:07:00,9/25/2023 16:07:00,35.2
9/26/2023 5:02:00,9/26/2023 14:58:00,35.22
9/27/2023 6:17:00,9/27/2023 16:18:00,34.36
9/28/2023 5:37:00,9/28/2023 15:33:00,32.38
9/29/2023 6:33:00,9/30/2023 1:57:00,30.14
9/30/2023 5:36:00,9/30/2023 15:36:00,28.44
10/1/2023 6:16:00,10/1/2023 16:27:00,39.74
10/2/2023 4:57:00,10/2/2023 15:21:00,33
10/3/2023 6:37:00,10/3/2023 17:26:00,31.52
10/4/2023 5:15:00,10/4/2023 18:20:00,31.36
10/5/2023 6:45:00,10/5/2023 16:50:00,30.84
10/6/2023 4:55:00,10/6/2023 15:17:00,35.42
10/7/2023 6:08:00,10/7/2023 15:51:00,32.34
10/8/2023 5:24:00,10/8/2023 15:24:00,37.4
10/9/2023 6:12:00,10/9/2023 16:11:00,33.3
10/10/2023 5:09:00,10/10/2023 15:08:00,34.78
10/11/2023 6:30:00,10/11/2023 16:29:00,32.04
10/12/2023 5:09:00,10/12/2023 15:09:00,33.62
10/13/2023 6:19:00,10/13/2023 16:15:00,33.16
10/14/2023 5:09:00,10/14/2023 15:02:00,35.46
10/15/2023 6:11:00,10/15/2023 16:12:00,29.4
10/16/2023 5:04:00,10/16/2023 15:05:00,32.6
10/17/2023 6:18:00,10/17/2023 16:16:00,29.34
10/18/2023 5:08:00,10/18/2023 15:07:00,32.98
10/19/2023 6:12:00,10/19/2023 16:13:00,31.48
10/20/2023 5:18:00,10/20/2023 15:15:00,35.98
10/21/2023 6:01:00,10/21/2023 16:01:00,30.96
10/22/2023 5:08:00,10/22/2023 15:05:00,35.8
10/23/2023 5:53:00,10/23/2023 15:54:00,34.04
10/24/2023 5:01:00,10/24/2023 15:01:00,37.38
10/25/2023 6:09:00,10/25/2023 16:12:00,30.6
10/26/2023 5:01:00,10/26/2023 15:43:00,36.46
10/27/2023 2:50:00,10/27/2023 12:49:00,36.82
10/28/2023 4:47:00,10/28/2023 14:43:00,37.34
10/29/2023 1:30:00,10/29/2023 11:30:00,37.4
10/30/2023 4:59:00,10/30/2023 15:01:00,34
10/31/2023 6:22:00,10/31/2023 16:22:00,32.6
11/1/2023 5:26:00,11/1/2023 15:45:00,39.33
11/2/2023 2:37:00,11/2/2023 12:38:00,37.1
11/3/2023 1:54:00,11/3/2023 11:50:00,37.94
11/4/2023 6:40:00,11/4/2023 16:42:00,34.52
11/5/2023 3:54:00,11/5/2023 13:52:00,34.8
11/6/2023 6:32:00,11/6/2023 16:32:00,33.92
11/7/2023 2:49:00,11/7/2023 12:53:00,38.62
