start_time,end_time,weight_gt
9/10/2023 0:00:00,9/11/2023 0:00:00,
9/11/2023 0:00:00,9/12/2023 0:00:00,23.35
9/12/2023 0:00:00,9/13/2023 0:00:00,35.53
9/13/2023 0:00:00,9/14/2023 0:00:00,
9/14/2023 0:00:00,9/15/2023 0:00:00,26.9
9/15/2023 0:00:00,9/16/2023 0:00:00,20.95
9/16/2023 0:00:00,9/17/2023 0:00:00,27.5
9/17/2023 0:00:00,9/18/2023 0:00:00,21.55
9/18/2023 0:00:00,9/19/2023 0:00:00,27.1
9/19/2023 0:00:00,9/20/2023 0:00:00,35.15
9/20/2023 0:00:00,9/21/2023 0:00:00,27.5
9/21/2023 0:00:00,9/22/2023 0:00:00,27.5
9/22/2023 0:00:00,9/23/2023 0:00:00,37.6
9/23/2023 0:00:00,9/24/2023 0:00:00,37.6
9/24/2023 0:00:00,9/25/2023 0:00:00,31
9/25/2023 0:00:00,9/26/2023 0:00:00,31
9/26/2023 0:00:00,9/27/2023 0:00:00,24.5
9/27/2023 0:00:00,9/28/2023 0:00:00,24.5
9/28/2023 0:00:00,9/29/2023 0:00:00,35.1
9/29/2023 0:00:00,9/30/2023 0:00:00,35.1
9/30/2023 0:00:00,10/1/2023 0:00:00,
10/1/2023 0:00:00,10/2/2023 0:00:00,27
10/2/2023 0:00:00,10/3/2023 0:00:00,27
10/3/2023 0:00:00,10/4/2023 0:00:00,
10/4/2023 0:00:00,10/5/2023 0:00:00,
10/5/2023 0:00:00,10/6/2023 0:00:00,
10/6/2023 0:00:00,10/7/2023 0:00:00,25.58
10/7/2023 0:00:00,10/8/2023 0:00:00,
10/8/2023 0:00:00,10/9/2023 0:00:00,22.5
10/9/2023 0:00:00,10/10/2023 0:00:00,22.5
10/10/2023 0:00:00,10/11/2023 0:00:00,
10/11/2023 0:00:00,10/12/2023 0:00:00,
10/12/2023 0:00:00,10/13/2023 0:00:00,29.9
10/13/2023 0:00:00,10/14/2023 0:00:00,29.9
10/14/2023 0:00:00,10/15/2023 0:00:00,
10/15/2023 0:00:00,10/16/2023 0:00:00,
10/16/2023 0:00:00,10/17/2023 0:00:00,34.26
10/17/2023 0:00:00,10/18/2023 0:00:00,
10/18/2023 0:00:00,10/19/2023 0:00:00,26.35
10/19/2023 0:00:00,10/20/2023 0:00:00,
10/20/2023 0:00:00,10/21/2023 0:00:00,32
10/21/2023 0:00:00,10/22/2023 0:00:00,32
10/22/2023 0:00:00,10/23/2023 0:00:00,19.69
10/23/2023 0:00:00,10/24/2023 0:00:00,19.65
10/24/2023 0:00:00,10/25/2023 0:00:00,26
10/25/2023 0:00:00,10/26/2023 0:00:00,19.92
10/26/2023 0:00:00,10/27/2023 0:00:00,42
10/27/2023 0:00:00,10/28/2023 0:00:00,20.67
10/28/2023 0:00:00,10/29/2023 0:00:00,
10/29/2023 0:00:00,10/30/2023 0:00:00,
10/30/2023 0:00:00,10/31/2023 0:00:00,
10/31/2023 0:00:00,11/1/2023 0:00:00,
11/1/2023 0:00:00,11/2/2023 0:00:00,
